player_id,family_name,given_name,count_tournaments
P-03256,Bell,Colin,1
P-02715,Bell,Joseph-Antoine,3
P-07208,Bellaïd,Habib,1
P-07689,Belletti,Juliano,1
P-07138,Bellini,Hilderaldo,3
P-08850,Bello,Menachem,1
P-05885,Bellone,Bruno,2
P-08077,Bellot,Raymond,1
P-06826,Belloumi,Lakhdar,2
P-02416,Bellugi,Mauro,2
P-04263,Belmonte,Jaime,1
P-01552,Belodedici,Miodrag,1
P-09162,Belözoğlu,Emre,1
P-08687,Belyayev,Vladimir,1
P-08810,Ben Ahmed,Faysal,1
P-08201,Ben Amor,Mohamed Amine,1
P-00570,Ben Aziza,Abderraouf,1
P-00684,Ben Aziza,Lamine,1
P-00393,Ben Bouali,Abdelkader,1
